namespace,block_id,block,jar,storage_candidate
another_furniture,another_furniture:acacia_bench,acacia_bench,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:acacia_chair,acacia_chair,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:acacia_drawer,acacia_drawer,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:acacia_flower_box,acacia_flower_box,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:acacia_shelf,acacia_shelf,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:acacia_shutter,acacia_shutter,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:acacia_table,acacia_table,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:bamboo_bench,bamboo_bench,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:bamboo_chair,bamboo_chair,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:bamboo_drawer,bamboo_drawer,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:bamboo_flower_box,bamboo_flower_box,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:bamboo_shelf,bamboo_shelf,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:bamboo_shutter,bamboo_shutter,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:bamboo_table,bamboo_table,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:birch_bench,birch_bench,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:birch_chair,birch_chair,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:birch_drawer,birch_drawer,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:birch_flower_box,birch_flower_box,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:birch_shelf,birch_shelf,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:birch_shutter,birch_shutter,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:birch_table,birch_table,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:black_curtain,black_curtain,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:black_lamp,black_lamp,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:black_lamp_connector,black_lamp_connector,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:black_sofa,black_sofa,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:black_stool,black_stool,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:black_tall_stool,black_tall_stool,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:blue_curtain,blue_curtain,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:blue_lamp,blue_lamp,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:blue_lamp_connector,blue_lamp_connector,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:blue_sofa,blue_sofa,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:blue_stool,blue_stool,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:blue_tall_stool,blue_tall_stool,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:brown_curtain,brown_curtain,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:brown_lamp,brown_lamp,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:brown_lamp_connector,brown_lamp_connector,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:brown_sofa,brown_sofa,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:brown_stool,brown_stool,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:brown_tall_stool,brown_tall_stool,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:cherry_bench,cherry_bench,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:cherry_chair,cherry_chair,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:cherry_drawer,cherry_drawer,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:cherry_flower_box,cherry_flower_box,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:cherry_shelf,cherry_shelf,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:cherry_shutter,cherry_shutter,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:cherry_table,cherry_table,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:crimson_bench,crimson_bench,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:crimson_chair,crimson_chair,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:crimson_drawer,crimson_drawer,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:crimson_flower_box,crimson_flower_box,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:crimson_shelf,crimson_shelf,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:crimson_shutter,crimson_shutter,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:crimson_table,crimson_table,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:cyan_curtain,cyan_curtain,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:cyan_lamp,cyan_lamp,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:cyan_lamp_connector,cyan_lamp_connector,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:cyan_sofa,cyan_sofa,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:cyan_stool,cyan_stool,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:cyan_tall_stool,cyan_tall_stool,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:dark_oak_bench,dark_oak_bench,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:dark_oak_chair,dark_oak_chair,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:dark_oak_drawer,dark_oak_drawer,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:dark_oak_flower_box,dark_oak_flower_box,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:dark_oak_shelf,dark_oak_shelf,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:dark_oak_shutter,dark_oak_shutter,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:dark_oak_table,dark_oak_table,another_furniture-forge-1.20.1-3.0.4.jar,True
another_furniture,another_furniture:gray_curtain,gray_curtain,another_furniture-forge-1.20.1-3.0.4.jar,False
another_furniture,another_furniture:gray_lamp,gray_lamp,another_furniture-forge-1.20.1-3.0.4.jar,False
