"ItemId","Mod","Slot","SetKey","Category","SuggestedTier","Detection"
"apocalypsenow:advanced_hazmat_suit_boots","apocalypsenow","feet","apocalypsenow:advanced_hazmat_suit","環境防護","T3-T5","標準部位名"
"apocalypsenow:advanced_hazmat_suit_chestplate","apocalypsenow","chest","apocalypsenow:advanced_hazmat_suit","環境防護","T3-T5","標準部位名"
"apocalypsenow:advanced_hazmat_suit_helmet","apocalypsenow","head","apocalypsenow:advanced_hazmat_suit","環境防護","T3-T5","標準部位名"
"apocalypsenow:advanced_hazmat_suit_leggings","apocalypsenow","legs","apocalypsenow:advanced_hazmat_suit","環境防護","T3-T5","標準部位名"
"apocalypsenow:anarchy_boots","apocalypsenow","feet","apocalypsenow:anarchy","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:anarchy_chestplate","apocalypsenow","chest","apocalypsenow:anarchy","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:anarchy_helmet","apocalypsenow","head","apocalypsenow:anarchy","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:anarchy_leggings","apocalypsenow","legs","apocalypsenow:anarchy","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:army_boots","apocalypsenow","feet","apocalypsenow:army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:army_chestplate","apocalypsenow","chest","apocalypsenow:army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:army_helmet","apocalypsenow","head","apocalypsenow:army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:army_leggings","apocalypsenow","legs","apocalypsenow:army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:atlast_7_chestplate","apocalypsenow","chest","apocalypsenow:atlast_7","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:aviator_hat_helmet","apocalypsenow","head","apocalypsenow:aviator_hat","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:ballistic_mask_helmet","apocalypsenow","head","apocalypsenow:ballistic_mask","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:baseball_cap_blue_helmet","apocalypsenow","head","apocalypsenow:baseball_cap_blue","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:baseball_cap_green_helmet","apocalypsenow","head","apocalypsenow:baseball_cap_green","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:baseball_cap_red_helmet","apocalypsenow","head","apocalypsenow:baseball_cap_red","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:baseball_helmet_helmet","apocalypsenow","head","apocalypsenow:baseball_helmet","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:beret_chestplate","apocalypsenow","chest","apocalypsenow:beret","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:beret_helmet","apocalypsenow","head","apocalypsenow:beret","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:bikers_helmet","apocalypsenow","head","apocalypsenow:bikers","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:biohazard_boots","apocalypsenow","feet","apocalypsenow:biohazard","環境防護","T1-T3","標準部位名"
"apocalypsenow:biohazard_chestplate","apocalypsenow","chest","apocalypsenow:biohazard","環境防護","T1-T3","標準部位名"
"apocalypsenow:biohazard_helmet","apocalypsenow","head","apocalypsenow:biohazard","環境防護","T1-T3","標準部位名"
"apocalypsenow:biohazard_leggings","apocalypsenow","legs","apocalypsenow:biohazard","環境防護","T1-T3","標準部位名"
"apocalypsenow:black_bikers_helmet","apocalypsenow","head","apocalypsenow:black_bikers","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:black_football_armor_boots","apocalypsenow","feet","apocalypsenow:black_football_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:black_football_armor_chestplate","apocalypsenow","chest","apocalypsenow:black_football_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:black_football_armor_helmet","apocalypsenow","head","apocalypsenow:black_football_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:black_football_armor_leggings","apocalypsenow","legs","apocalypsenow:black_football_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:black_motorcycle_helmet_helmet","apocalypsenow","head","apocalypsenow:black_motorcycle_helmet","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:blackhockeymask_helmet","apocalypsenow","head","apocalypsenow:blackhockeymask","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:blue_fighting_chestplate","apocalypsenow","chest","apocalypsenow:blue_fighting","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:blue_fighting_helmet","apocalypsenow","head","apocalypsenow:blue_fighting","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:blue_fighting_leggings","apocalypsenow","legs","apocalypsenow:blue_fighting","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:blue_football_armor_boots","apocalypsenow","feet","apocalypsenow:blue_football_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:blue_football_armor_chestplate","apocalypsenow","chest","apocalypsenow:blue_football_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:blue_football_armor_helmet","apocalypsenow","head","apocalypsenow:blue_football_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:blue_football_armor_leggings","apocalypsenow","legs","apocalypsenow:blue_football_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:bluemotorcyclehelmet_helmet","apocalypsenow","head","apocalypsenow:bluemotorcyclehelmet","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:bombsquad_boots","apocalypsenow","feet","apocalypsenow:bombsquad","重装/パワーアーマー","T4-T5","標準部位名"
"apocalypsenow:bombsquad_chestplate","apocalypsenow","chest","apocalypsenow:bombsquad","重装/パワーアーマー","T4-T5","標準部位名"
"apocalypsenow:bombsquad_helmet","apocalypsenow","head","apocalypsenow:bombsquad","重装/パワーアーマー","T4-T5","標準部位名"
"apocalypsenow:bombsquad_leggings","apocalypsenow","legs","apocalypsenow:bombsquad","重装/パワーアーマー","T4-T5","標準部位名"
"apocalypsenow:brazilian_army_boots","apocalypsenow","feet","apocalypsenow:brazilian_army","防弾/軍用","T1-T3","標準部位名"
