"GunId","DisplayName","Pack","Region","Era","WeaponClass","SuggestedTier","SuggestedRarity","Review"
"daffas_arsenal:ak47","AK47","daffas","東側","旧式","アサルトライフル","T1-T3","common","表示名要確認"
"daffas_arsenal:aksopmod","AK Tactical","daffas","東側","新式","アサルトライフル","T2-T4","uncommon",""
"daffas_arsenal:apacoba9","APC9","daffas","西側/民間","新式","SMG/PDW","T2-T4","uncommon",""
"daffas_arsenal:apacoba9_sup","APC9 SD","daffas","西側/民間","新式","SMG/PDW","T2-T4","uncommon",""
"daffas_arsenal:g36","MG36","daffas","西側/民間","新式","LMG","T3-T5","legendary",""
"daffas_arsenal:g36c","G36C","daffas","西側/民間","新式","アサルトライフル","T2-T4","uncommon","表示名要確認"
"daffas_arsenal:g36c_commando","G36C with Foregrip","daffas","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"daffas_arsenal:gerosa","OTs-14","daffas","東側","旧式","アサルトライフル","T1-T3","common",""
"daffas_arsenal:harpa9","ARP9","daffas","西側/民間","新式","SMG/PDW","T2-T4","uncommon",""
"daffas_arsenal:hk416","HK416","daffas","西側/民間","新式","アサルトライフル","T2-T4","uncommon","表示名要確認"
"daffas_arsenal:hk416_sup","HK416 SD","daffas","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"daffas_arsenal:hk417","HK417","daffas","西側/民間","新式","DMR/バトルライフル","T3-T5","legendary","表示名要確認"
"daffas_arsenal:hk45","HK45","daffas","西側/民間","旧式","ハンドガン","T0-T2","common","表示名要確認"
"daffas_arsenal:hk45_sup","HK45 Tactical","daffas","西側/民間","新式","ハンドガン","T2-T4","uncommon",""
"daffas_arsenal:m79","M79","daffas","西側/民間","旧式","重火器","T3-T5","legendary","表示名要確認"
"daffas_arsenal:m79sohrt","M79 (Short)","daffas","西側/民間","旧式","重火器","T3-T5","legendary",""
"daffas_arsenal:makten_single","MAC10","daffas","西側/民間","旧式","SMG/PDW","T0-T2","common",""
"daffas_arsenal:makten_single_taktis","MAC10 Tactical","daffas","西側/民間","新式","SMG/PDW","T2-T4","uncommon",""
"daffas_arsenal:migraine3","MG3","daffas","西側/民間","旧式","LMG","T1-T3","common",""
"daffas_arsenal:mp5k","MP5K","daffas","西側/民間","旧式","SMG/PDW","T0-T2","common","表示名要確認"
"daffas_arsenal:p99_hak","P99 And HAK","daffas","西側/民間","旧式","ハンドガン","T0-T2","common",""
"daffas_arsenal:p99_nohak","P99","daffas","西側/民間","旧式","ハンドガン","T0-T2","common",""
"daffas_arsenal:pego","P90","daffas","西側/民間","旧式","SMG/PDW","T0-T2","common",""
"daffas_arsenal:pego762","P762","daffas","西側/民間","旧式","SMG/PDW","T0-T2","common",""
"daffas_arsenal:pegomc","P90 MC","daffas","西側/民間","旧式","SMG/PDW","T0-T2","common",""
"daffas_arsenal:pegont","P90 TN","daffas","西側/民間","旧式","SMG/PDW","T0-T2","common",""
"daffas_arsenal:pegontmc","P90 TN MC","daffas","西側/民間","旧式","SMG/PDW","T0-T2","common",""
"daffas_arsenal:samula3","Samula3","daffas","架空/その他","架空/特殊","特殊/ネタ","T5/原則除外","legendary","表示名要確認"
"daffas_arsenal:sg550","SG550","daffas","西側/民間","旧式","DMR/バトルライフル","T1-T3","common","表示名要確認"
"daffas_arsenal:sg552","SG552","daffas","西側/民間","旧式","アサルトライフル","T1-T3","common","表示名要確認"
"daffas_arsenal:sgputer","M1887","daffas","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"daffas_arsenal:sgputer2","M1887 (Short)","daffas","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"daffas_arsenal:sl8","SL8","daffas","西側/民間","旧式","DMR/バトルライフル","T1-T3","common","表示名要確認"
"daffas_arsenal:southeastmomssecretweapon","Red Folding Hanger","daffas","架空/その他","架空/特殊","特殊/ネタ","T5/原則除外","legendary",""
"daffas_arsenal:southeastmomssecretweapon2","Blue Folding Hanger","daffas","架空/その他","架空/特殊","特殊/ネタ","T5/原則除外","legendary",""
"daffas_arsenal:southeastmomssecretweapon3","Green Folding Hanger","daffas","架空/その他","架空/特殊","特殊/ネタ","T5/原則除外","legendary",""
"daffas_arsenal:spasi15","SPAS-15","daffas","西側/民間","旧式","ショットガン","T0-T2","common",""
"daffas_arsenal:ss1_v2","SS1-V2","daffas","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"daffas_arsenal:ss1_v5","SS1-R5","daffas","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"daffas_arsenal:ss1_v5g","SS1-V5 Gold","daffas","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"daffas_arsenal:ssg69","SSG69","daffas","西側/民間","旧式","スナイパー","T1-T3","common","表示名要確認"
"daffas_arsenal:ssg69s","SSG69 S ﾂｧ6(Signature)","daffas","西側/民間","旧式","スナイパー","T1-T3","common",""
"daffas_arsenal:taurus","Raging Bull .500","daffas","西側/民間","旧式","ハンドガン","T0-T2","common",""
"daffas_arsenal:taurus2","Snub Nose .500","daffas","西側/民間","旧式","ハンドガン","T0-T2","common",""
"daffas_arsenal:uji","Dual MAC10","daffas","西側/民間","旧式","SMG/PDW","T0-T2","common",""
"daffas_arsenal:wawan2000","WA2000 Type1","daffas","西側/民間","旧式","スナイパー","T1-T3","common",""
"daffas_arsenal:wawan20002","WA2000 Type2","daffas","西側/民間","旧式","スナイパー","T1-T3","common",""
"daffas_arsenal:welrod","Welrod","daffas","西側/民間","旧式","ハンドガン","T0-T2","common","表示名要確認"
"maxstuff:1851_navy","Colt 1851 Navy (WIP)","maxstuff","西側/民間","旧式","ハンドガン","T0-T2","common",""
"maxstuff:aa50beowulf","AA .50 Beowulf","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:adar2","Adar 2-15","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:af2011","AF2011-A1","maxstuff","西側/民間","旧式","ハンドガン","T0-T2","common",""
"maxstuff:ai_awp","Accuracy International AWP","maxstuff","西側/民間","旧式","スナイパー","T1-T3","common",""
"maxstuff:ai_aws","Accuracy International AWS","maxstuff","西側/民間","旧式","スナイパー","T1-T3","common",""
"maxstuff:ak_alpha","AK 109-Alpha","maxstuff","東側","新式","アサルトライフル","T2-T4","uncommon",""
"maxstuff:ak_delta","AKM-i","maxstuff","東側","新式","アサルトライフル","T2-T4","uncommon",""
"maxstuff:ak107","ﾂｧdAK107","maxstuff","東側","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:ak108","ﾂｧdAK108","maxstuff","東側","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:ak109","ﾂｧdAK109","maxstuff","東側","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:ak12","AK12","maxstuff","東側","新式","アサルトライフル","T2-T4","uncommon","表示名要確認"
"maxstuff:ak15","AK15","maxstuff","東側","新式","アサルトライフル","T2-T4","uncommon","表示名要確認"
"maxstuff:ak19","AK19","maxstuff","東側","新式","アサルトライフル","T2-T4","uncommon","表示名要確認"
"maxstuff:ak22","ﾂｧdAK22","maxstuff","東側","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:ak308","AK308","maxstuff","東側","新式","アサルトライフル","T2-T4","uncommon","表示名要確認"
"maxstuff:ak63e","AK-63E","maxstuff","東側","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:ak74","AK74","maxstuff","東側","旧式","アサルトライフル","T1-T3","common","表示名要確認"
"maxstuff:ak74m","AK74M","maxstuff","東側","旧式","アサルトライフル","T1-T3","common","表示名要確認"
"maxstuff:ak9","ﾂｧdAK-9","maxstuff","東側","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:aks74u","AKS74U","maxstuff","東側","旧式","アサルトライフル","T1-T3","common","表示名要確認"
"maxstuff:aks74ub","AKS74UB","maxstuff","東側","旧式","アサルトライフル","T1-T3","common","表示名要確認"
"maxstuff:ar10","SR25","maxstuff","西側/民間","旧式","DMR/バトルライフル","T1-T3","common",""
"maxstuff:ar10b","Armalite AR-10B","maxstuff","西側/民間","旧式","DMR/バトルライフル","T1-T3","common",""
"maxstuff:ar18","BRN-180","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:ar338","sketchy .300winmag ar","maxstuff","西側/民間","旧式","スナイパー","T1-T3","common",""
"maxstuff:ar57","AR-57","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:ar762","MXA AR-762","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:arp","ARP","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common","表示名要確認"
"maxstuff:aug_a2","AUG-A2","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:aug_a3","AUG-A3","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:aug_a3_para","AUG-A3 Para XS","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:aug_a5","MXA AUG-A5","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:aug_hbar","AUG-HBAR","maxstuff","西側/民間","旧式","LMG","T1-T3","common",""
"maxstuff:beowulf_ecr","Beowulf ecr","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common","表示名要確認"
"maxstuff:beowulf_tcr","Beowulf tcr","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common","表示名要確認"
"maxstuff:blicky","The Strap(creative only)","maxstuff","架空/その他","架空/特殊","アサルトライフル","T5/原則除外","legendary",""
"maxstuff:brn10","BRN-10","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:c96","M712","maxstuff","西側/民間","旧式","ハンドガン","T0-T2","common",""
"maxstuff:can_cannon","Can Cannon","maxstuff","西側/民間","旧式","重火器","T3-T5","legendary","表示名要確認"
"maxstuff:colt_933","Colt 933","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common","表示名要確認"
"maxstuff:colt_mars","Colt Mars","maxstuff","西側/民間","旧式","ハンドガン","T0-T2","common","表示名要確認"
"maxstuff:cursed15","Peak British Gun Design","maxstuff","架空/その他","架空/特殊","アサルトライフル","T5/原則除外","legendary",""
"maxstuff:db_50","DB-4 Ursus .50","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:db_long_d","DB-4 Ursusﾂｧc(Dragons Breath)","maxstuff","西側/民間","旧式","ショットガン","T0-T2","common",""
"maxstuff:db_short_d","DB-2 Durinﾂｧc(Dragons Breath)","maxstuff","西側/民間","旧式","ショットガン","T0-T2","common",""
"maxstuff:db_short_tactical","DB-2 Durin Tactical","maxstuff","西側/民間","新式","ショットガン","T2-T4","uncommon",""
"maxstuff:deagle_12g","Deagle .12g","maxstuff","西側/民間","旧式","ハンドガン","T0-T2","common",""
"maxstuff:deagle_50bmg","Deagle .50bmg","maxstuff","西側/民間","旧式","ハンドガン","T0-T2","common",""
"maxstuff:dp28","DP-28","maxstuff","東側","旧式","LMG","T1-T3","common",""
"maxstuff:dragonuv_svd","Dragunov SVD","maxstuff","東側","旧式","スナイパー","T1-T3","common",""
"maxstuff:dragonuv_svdm","Dragunov SVDM","maxstuff","東側","新式","スナイパー","T3-T5","legendary",""
"maxstuff:dragonuv_svds","Dragunov SVDS","maxstuff","東側","旧式","スナイパー","T1-T3","common",""
"maxstuff:excaliber","ﾂｧdExcaliber Automatic .50 cal","maxstuff","架空/その他","架空/特殊","重火器","T5/原則除外","legendary",""
"maxstuff:g36","G36-C","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"maxstuff:genesis12","Gen-12","maxstuff","西側/民間","新式","ショットガン","T2-T4","uncommon",""
