Faction,Role,WorldTier,PrimaryPool,SecondaryPool,ArmorProfile,SquadWeight,Notes
survivor,civilian,T0,"tacz:taurus943|tacz:db_short|tacz:springfield1873","tacz:m1911","clothes",45,"民間人。非武装個体も混ぜる"
survivor,guard,T0,"tacz:m870|tacz:db_long","tacz:glock_17","light",30,"拠点警備"
survivor,medic,T0,"tacz:ump45|tacz:hk_mp5a5","tacz:glock_17","medic_light",15,"回復優先、前進抑制"
survivor,guard,T1,"tacz:sks_tactical|tacz:m16a1|tacz:m870","tacz:m1911","light",35,"旧式軍用品"
survivor,veteran,T2,"tacz:m4a1|tacz:m16a4|tacz:aug","tacz:glock_17","medium",10,"低確率の熟練者"
raider,scout,T0,"daffas_arsenal:makten_single|tacz:uzi|tacz:db_short","tacz:taurus943","scrap_light",35,"低HP・高機動・多人数"
raider,rifleman,T0,"tacz:ak47|maxstuff:sks_wooden","tacz:cz75","scrap_light",45,"基本兵"
raider,medic,T1,"tacz:ak47|tacz:hk_mp5a5","tacz:cz75","scrap_medium",10,"蘇生役"
raider,enforcer,T1,"tacz:rpk|tacz:spas_12|maxstuff:saiga12","tacz:deagle","scrap_heavy",15,"近距離制圧"
raider,rifleman,T2,"tacz:type_81|maxstuff:ak74|maxstuff:ak63e","tacz:cz75","scrap_medium",45,"東側旧式更新"
raider,elite,T3,"maxstuff:ak74m|maxstuff:rpk_74m|maxstuff:dragonuv_svds","maxstuff:vityas","military_medium",8,"地域ボス護衛"
raider,warlord,T4,"maxstuff:ak12|maxstuff:ak15|maxstuff:rpk16","maxstuff:glock_18c","military_heavy",2,"通常スポーンさせない"
civildef,patrol,T0,"tacz:hk_mp5a5|tacz:m870","tacz:glock_17","police_light",45,"警察装備"
civildef,guard,T1,"tacz:m16a1|tacz:m4a1|tacz:hk_mp5a5","tacz:glock_17","police_medium",35,"施設警備"
civildef,medic,T1,"tacz:ump45|tacz:m4a1","tacz:glock_17","medic_medium",12,"蘇生役"
civildef,officer,T2,"tacz:m4a1|tacz:g36k|tacz:scar_l","tacz:p320","swat_medium",12,"分隊指揮"
civildef,marksman,T2,"tacz:m700|tacz:mk14","tacz:p320","swat_medium",8,"屋上・長距離"
civildef,swat,T3,"tacz:hk416d|tacz:scar_h|tacz:m1014","tacz:p320","swat_heavy",10,"警察署攻略後"
civildef,commander,T4,"tacz:hk416d|tacz:fn_evolys|maxstuff:mk18","tacz:m9a4","military_heavy",2,"重要拠点のみ"
remnant,soldier,T2,"maxstuff:ak74m|maxstuff:ak63e|tacz:type_81","tacz:cz75","military_medium",50,"Tier2から本格登場"
remnant,medic,T2,"maxstuff:aks74u|maxstuff:vityas","tacz:cz75","military_medium",10,"蘇生役"
remnant,marksman,T3,"maxstuff:dragonuv_svd|maxstuff:dragonuv_svds|maxstuff:ak308","tacz:cz75","military_medium",12,"高所配置"
remnant,officer,T3,"maxstuff:ak12|maxstuff:ak15|maxstuff:ak107","maxstuff:glock_18c","military_heavy",10,"命中精度高"
remnant,heavy,T3,"maxstuff:rpk_74m|maxstuff:dp28|tacz:rpk","tacz:cz75","juggernaut",12,"鈍足・制圧射撃"
remnant,elite,T4,"maxstuff:ak12|maxstuff:ak19|maxstuff:ak308","maxstuff:vityas","spec_ops",8,"軍事施設"
remnant,heavy,T4,"maxstuff:rpk16|maxstuff:saiga12|maxstuff:gm6_lynx","maxstuff:glock_18c","juggernaut",8,"対物銃は低確率"
remnant,commander,T5,"maxstuff:ak_alpha|maxstuff:ak_delta|maxstuff:dragonuv_svdm","maxstuff:glock_18c","exo_heavy",2,"ボス級・通常スポーン禁止"
